YEAR/MONTH,RAINFALL_KONKAN & GOA,RAINFALL_MADHYA MAHARASHTRA,RAINFALL_MARATHVADA,RAINFALL_VIDHARBA,RAINFALL_CHHATTISGARH
Feb-21,0,0,0,0.1,1.6
Mar-21,0.1,0.3,0,0,0
Apr-21,4.8,9,2.4,2.6,6.2
May-21,0,1.1,0,0,0
Jun-21,658.1,105.8,151,283.9,335.4
Jul-21,1102.5,291.6,174.8,293,311.4
Aug-21,611.8,125,70.2,292,401.8
Sep-21,450.4,128.7,113.4,182.3,210.9
Oct-21,57.5,47.5,41.9,11.3,12.3
Nov-21,13.7,23.7,6.6,0.2,0
Dec-21,0,0,0,0,0
Jan-22,0,18.3,54.4,33.8,21.1
Feb-22,0,2.6,1.9,2.3,1.2
Mar-22,0,0,0,0,0.5
Apr-22,6.3,16.7,2.8,3.8,12.7
May-22,13.4,27.4,19.3,5.1,9.5
Jun-22,774.3,161.7,220.3,206.1,180.2
Jul-22,1290.6,218.2,119.5,361.7,416.7
Aug-22,339.3,79.4,39.4,116.5,305.2
Sep-22,261.1,97.1,206.4,295.3,297.6
Oct-22,41.4,41.2,47.8,4.7,23.5
Nov-22,90,141.1,122.7,80.3,38.9
Dec-22,1.2,1.4,1.4,0.3,1.7
Jan-23,0,1.9,4,1,3.9
Feb-23,0.5,1.7,0.5,6.7,27.1
Mar-23,4.7,32.7,55.9,30.6,15.2
Apr-23,1.3,8.7,9.9,3.4,9.7
May-23,7.8,10.5,0.6,2.3,5.3
Jun-23,259.4,30.7,20.5,21.4,103.8
Jul-23,1643.9,290,300.4,402.9,374.6
Aug-23,480.7,126.5,72,201.1,582.3
Sep-23,363.7,169.5,300.1,260.1,194.9
Oct-23,8.3,6.4,0.2,11,61.9
Nov-23,0.1,0,0,0.1,8
Dec-23,0,2.3,0.8,0.7,0.5
Jan-24,0,2.1,3.2,21.3,32.3
Feb-24,0,0,0,0.5,11.1
Mar-24,0.1,2.8,7.7,4.4,5.9
Apr-24,0.1,19.7,8.1,6.2,9
May-24,0.4,4.6,0.2,3.2,18
Jun-24,522.5,80.3,49.2,43.8,83.5
Jul-24,932.2,173.8,130.4,308.3,310.3
Aug-24,641.7,220.6,180.7,220.6,329.5
Sep-24,324.4,185.8,200.2,217.3,330.6
Oct-24,19,49.7,59.8,126.9,79.5
Nov-24,3.8,3.6,9.8,33.6,124.5
Dec-24,0,5.3,13.4,8.1,0.1
Jan-25,0.1,0,0,0,0.2
Feb-25,0,0,0,0,0.5
Mar-25,7.4,3.1,0,7.3,0.3
Apr-25,5.2,1.5,0,5.4,10.6
May-25,121,38.9,30.1,28,88.6
Jun-25,800.9,177.7,130.3,130.3,368.8
Jul-25,655.5,152,84.3,293.9,560.4
Aug-25,501.5,115.2,173.6,307.2,476.6
Sep-25,120.4,94.7,73.4,77.4,166.8
Oct-25,74.6,33.9,38.1,21.8,45.1
Nov-25,18.6,40.7,75.1,61.5,19.1
Dec-25,0,4,0,8.4,0
Jan-26,31.8,34.3,70.4,59.5,33.2
Feb-26,0,0.6,0,5.7,10.7
Mar-26,0,0.1,0,23.7,99.7
Apr-26,0,0.2,1.5,15.1,63.3
May-26,1.5,11.2,17.6,34.4,45.3
Jun-26,306.1,85.9,85,31.8,55.3
Jul-26,1203.6,230.6,126.3,330.6,374.4
Aug-26,1149.6,258,254.1,420,555.5
Sep-26,432.9,147.7,147.6,109.9,330.5
Oct-26,39.2,8.1,0,38.7,63.4
Nov-26,1.1,8.3,11.2,1.3,0.2
Dec-26,0,2.2,1.8,0.6,3.3
Jan-27,0,0,0,0.7,11.7
Feb-27,0.2,1,3.2,10,57.9
Mar-27,0.2,0.9,10.2,12.2,24.1
Apr-27,0,4.6,7.5,2,2.3
May-27,5.5,9.3,0,2.2,15.9
Jun-27,785.6,184.9,173,280.2,193.3
Jul-27,1030.3,318.7,143.5,414.7,468.3
Aug-27,416.6,85.4,67,220.1,488.8
Sep-27,240.9,183.6,175.7,97.7,171.9
Oct-27,178.8,51.3,37.2,51.5,75.2
Nov-27,87.3,83.3,126.9,70.4,27.8
Dec-27,1.6,2,0.4,5.7,0
Jan-28,0,0.1,0,0.2,6.8
Feb-28,1.3,10.3,28.3,43.1,11.3
Mar-28,0.2,3.7,9.5,5.9,8.8
Apr-28,3.1,8,2,0.2,13.6
May-28,1.1,0.3,0,2.2,16.7
Jun-28,657,143.3,160.5,177.8,210.1
Jul-28,1159.4,217.7,141.7,296.2,384.4
